Rating,Note ID,Investment Amount,Term,Purchase Date,Payment Due Date,Payments Received,Principal Outstanding,Yield,Status,Sub Status
"AA",2327446-409,$25.000000,5 Years,2025-01-29,2025-02-27,$0.000000,$25.000000,9.3800000%,current,
"AA",2327428-232,$25.000000,2 Years,2025-01-29,2025-02-27,$0.000000,$25.000000,7.0000000%,current,
"AA",2327422-212,$25.000000,3 Years,2025-01-29,2025-02-27,$0.000000,$25.000000,7.0000000%,current,
"AA",2322543-319,$25.000000,3 Years,2025-01-29,2025-02-27,$0.000000,$25.000000,8.6100000%,current,
"AA",2321072-221,$25.000000,4 Years,2025-01-29,2025-02-27,$0.000000,$25.000000,9.0800000%,current,
"AA",2326837-182,$25.000000,3 Years,2025-01-28,2025-02-24,$0.000000,$25.000000,8.6100000%,current,
"AA",2322066-149,$25.000000,3 Years,2025-01-28,2025-02-24,$0.000000,$25.000000,8.4500000%,current,
"A",2326108-396,$25.000000,3 Years,2025-01-27,2025-02-23,$0.000000,$25.000000,10.4500000%,current,
"AA",2326072-135,$25.000000,4 Years,2025-01-27,2025-02-23,$0.000000,$25.000000,9.2300000%,current,
"AA",2321466-230,$25.000000,5 Years,2025-01-27,2025-02-23,$0.000000,$25.000000,10.1100000%,current,
"AA",2321460-147,$25.000000,3 Years,2025-01-27,2025-02-23,$0.000000,$25.000000,8.9000000%,current,
"AA",2319785-169,$25.000000,5 Years,2025-01-27,2025-02-23,$0.000000,$25.000000,9.8000000%,current,
"AA",2320854-162,$25.000000,5 Years,2025-01-24,2025-02-22,$0.000000,$25.000000,9.2300000%,current,
"AA",2320494-55,$25.000000,3 Years,2025-01-24,2025-02-22,$0.000000,$25.000000,7.0000000%,current,
"A",2317607-267,$25.000000,5 Years,2025-01-22,2025-02-17,$0.000000,$25.000000,13.0200000%,current,
"AA",2318637-48,$25.000000,5 Years,2025-01-17,2025-02-15,$0.000000,$25.000000,8.1800000%,current,
"AA",2318631-148,$25.000000,5 Years,2025-01-17,2025-02-15,$0.000000,$25.000000,14.0000000%,current,
"AA",2316638-307,$25.000000,3 Years,2025-01-17,2025-02-15,$0.000000,$25.000000,7.0000000%,current,
"AA",2316635-107,$25.000000,5 Years,2025-01-17,2025-02-15,$0.000000,$25.000000,7.5500000%,current,
"AA",2316632-313,$25.000000,3 Years,2025-01-17,2025-02-15,$0.000000,$25.000000,7.5000000%,current,
"AA",2318226-352,$25.000000,3 Years,2025-01-16,2025-02-14,$0.000000,$25.000000,7.5000000%,current,
"AA",2317644-135,$25.000000,3 Years,2025-01-16,2025-02-14,$0.000000,$25.000000,7.0000000%,current,
"AA",2321689-26,$25.000000,4 Years,2025-01-15,2025-02-13,$0.000000,$25.000000,7.6800000%,current,
"AA",2317290-65,$25.000000,5 Years,2025-01-15,2025-02-13,$0.000000,$25.000000,8.3400000%,current,
"AA",2317239-115,$25.000000,3 Years,2025-01-15,2025-02-13,$0.000000,$25.000000,7.0000000%,paid,
"AA",2319994-387,$25.000000,2 Years,2025-01-10,2025-02-08,$0.667642,$24.394682,7.0000000%,current,
"AA",2319985-257,$25.000000,5 Years,2025-01-10,2025-02-08,$0.000000,$25.000000,9.3800000%,current,
"AA",2315622-320,$25.000000,4 Years,2025-01-10,2025-02-08,$0.000000,$25.000000,7.6800000%,current,
"AA",2315607-268,$25.000000,2 Years,2025-01-10,2025-02-08,$0.000000,$25.000000,6.9900000%,current,
"AA",2313815-173,$25.000000,5 Years,2025-01-10,2025-02-08,$0.000000,$25.000000,7.1000000%,current,
"AA",2314035-204,$25.000000,5 Years,2025-01-08,2025-02-06,$0.000000,$25.000000,7.1000000%,current,
"AA",2312138-217,$25.000000,4 Years,2025-01-08,2025-02-06,$0.000000,$25.000000,7.6800000%,current,
"AA",2317606-64,$25.000000,5 Years,2025-01-07,2025-02-03,$7.242250,$17.784600,9.8000000%,current,
"AA",2313489-307,$25.000000,5 Years,2025-01-07,2025-02-03,$0.000000,$25.000000,9.6800000%,current,
"AA",2313483-330,$25.000000,3 Years,2025-01-07,2025-02-03,$0.000000,$25.000000,9.5000000%,current,
